,comments,Positive,Neutral,Negative,Compound
46,"Lots of wonderful varieties of furniture  from living room,  bedrooms and balcony. Reasonable pricing. Came back for more recycle bags.",0.084,0.916,0.0,0.19063333333333332
47,Nice Suar and Teak wood.Must visit. Cheers!!!,0.453,0.21366666666666667,0.0,0.33036666666666664
48,"The showroom offers a variety of furniture for consideration. Salespeople especially Peishan, are friendly and customer focused. I was particularly surprised by the willingness to customize the furniture to my design intent.",0.25533333333333336,0.7446666666666667,0.0,0.4111333333333333
49,Ah Kam was fantastic. Answered all our queries and took his time to show us the furniture. Awesome  customer servixe,0.4056666666666667,0.5943333333333334,0.0,0.3941
50,They offer customized design for their customers. We asked them to make our queen size bed with pull out and the design was indeed amazing. They could also deliver your purchases straight to your door. I hope they could also offer installment plans in the future.,0.15025,0.84975,0.0,0.31315
51,Good relation customer salesperson....peishan...will come back again,0.294,0.706,0.0,0.3612
52,Great variety of choices. Would recommend especially for people interested in teak furnitures! Reasonable prices too :),0.5093333333333333,0.4906666666666667,0.0,0.5933
53,Liked the fact that the staff was helpful and customisation is possible for the furniture pieces we wanted. Definitely a nice to go place to find eclectic pieces for the home.,0.307,0.6930000000000001,0.0,0.67565
54,Very friendly customer orientated person ...I will definitely comes back to wihardja with tis kind of service from...PEI Shan,0.267,0.733,0.0,0.7346
55,"Excellent place to head to and get your teak items. Absolutely worth it. Happy to be spending here. Worth my tine and money. To Add on, The salesperson is always there to assist me for whatever I needed.",0.3234,0.6766,0.0,0.3329
56,Brought the parents over to have a see on the available furniture. Staff is very friendly and patient in answering all our doubts. Thank you! You can always dropby and take your time choosing. 😊😊😊,0.1948,0.7754,0.03,0.14732
57,Awesome place with friendly staff. Tons of furniture variety especially of teak wood. Interesting and affordable designs as well.  Highly recommended!,0.48975,0.51025,0.0,0.4325
58,Super friendly and helpful staff! Beautiful solid wood furniture at super affordable prices! Would recommend!,0.744,0.256,0.0,0.7219666666666666
59,Pei Shan was very friendly and helpful! The products here brings a very nostalgic feeling! One stop place for wood furnitures!,0.2783333333333333,0.6106666666666667,0.111,0.22940000000000002
60,Excellent service. Staff were very helpful n patient to answer all our questions. We spent almost 2 hours here to furnish our study. Good variety of products,0.3745,0.6255000000000001,0.0,0.352125
61,"Very friendly staff, Pei Shan is really helpful.. the items to choose plenty of choices too, & it’s easy to find as well... the price is really reasonable & the ambience is great",0.273,0.727,0.0,0.8883
62,Love the place. Lots of items to choose from. I love solid wood furniture. Will purchase more in future. Highly recommend the place.,0.3606,0.6394,0.0,0.29997999999999997
63,Very friendly staff. Showroom has alot of variety and designs with good quality wood. Very reasonable for the quality offered. Highly recommended.,0.37825000000000003,0.62175,0.0,0.29352500000000004
64,Informative and helpful. Suprised that we could custom made our furniture. Will come back definitely,0.35233333333333333,0.6476666666666666,0.0,0.27446666666666664
65,Quality furniture with reasonable price. Must visit place for people who like teak wood furniture! Staff are friendly and have good knowledge in their products. Advice is given for reference to our customization inquiry.,0.16325,0.83675,0.0,0.277675
66,Teak! How real furniture should be!,0.0,1.0,0.0,0.0
67,"Excellent warehouse to look for teak and suar woods locally. Plenty of choices to pick. Most importantly, AFFORDABLE PRICES! Very helpful and friendly services.",0.36675,0.63325,0.0,0.442875
68,"Bought a nice and reasonably priced solid wood tv console. Staff were extremely friendly and helpful. They offered to create a hole at the back of the unit for wire access but forgot. When I called to bring up this issue, the lady who …",0.27525,0.72475,0.0,0.357325
69,Friendly service.. Great customer service and oriented. Big showroom. Recommended if you are looking into teak furniture for your house!,0.2553333333333333,0.7446666666666666,0.0,0.3596
70,"They are able to customize furniture to your needs. However, rough workmanship. The after sales service officer was polite but took 2-3 months for them to get the material to repair the defective part. Overall, not value for money.",0.0,0.877,0.123,-0.212775
71,Products not worth the price.,0.0,0.706,0.294,-0.1695
72,Friendly staff. Give customer an accurate info on each item stock waiting time duration. Overall thumbs up!!,0.1905,0.5595,0.0,0.123475
73,Very pleasant staff and amazing furniture collection. Very antiquish and great prices. I would go again.,0.373,0.627,0.0,0.4893
74,Staff is responsive and polite. He also attend to us patiently though we have multiple queries. Products are of good quality but very reasonable price. Good place to shop for furniture.,0.22425,0.7757499999999999,0.0,0.22812500000000002
75,I have a 3 year Aaliyah Teak bench which had slightly faded and in need of a restoration. Wihardja Furniture after sales service was prompt and attentive to my restoration enquiry and the workmanship on the restoration was fast and excellent. Thank you Wihardja Furniture.,0.19966666666666666,0.8003333333333333,0.0,0.31103333333333333
76,Quality furniture with reasonable price. Staff are friendly and have good knowledge in their products. Advice is given for reference when we are in doubt. The choices are many and customization service is provided.,0.104,0.84175,0.05425,0.08239999999999999
77,Been a teak furniture fan for the longest time. Running out of its oil n found one hear at Wihardja Sungei Kadut. Wide variety of wooden made furniture for my liking too but no more space at home.,0.11533333333333333,0.8346666666666667,0.049999999999999996,0.02666666666666666
78,"Just bought a side table from Wihardja, super friendly & helpful chinese salesman. Very knowledge on the products. Thumb up.",0.18433333333333335,0.8156666666666667,0.0,0.2906666666666667
79,"Love the surrounding at Wihardja Sungei Kadut
Friendly sales person, just bought any item here!",0.34,0.66,0.0,0.7712
80,Cute pieces they have here.,0.429,0.571,0.0,0.4588
81,"Very pleasant experience and no obligations feeling at all, if the place has more segregations would be better so it will look more organised.",0.265,0.662,0.073,0.6997
82,Interesting collection and very friendly staff.,0.608,0.392,0.0,0.7346
83,"Variety of teaakwood furniture with great offer during 54th national promotion!!! If u r looking for teak wood furniture, pls dont miss to visit such a great place.",0.358,0.642,0.0,0.71035
84,"My husband and I went to the branch at sugei kadut to get a bed frame. The staff that serve us was very friendly and patient with us even though we took quite awhile to consider. She will also advise us on some of the items we are looking at. Overall, we had a pleasant experience.",0.15175,0.84825,0.0,0.262975
85,"We went to Wihardja shop at Sungei Kadut, and Pei Shan attended me and my family. She is friendly and helpful, most importantly she is very patient. Keep up the good work!",0.30966666666666665,0.6903333333333334,0.0,0.41400000000000003
86,We came here for a cabinet and found one fitting our measurement. The showroom is big and the sales team is helpful. We requested for photograph of the finished product before they deliver for assurance.,0.13466666666666666,0.8653333333333333,0.0,0.25383333333333336
87,The staff are friendly and helpful. We ended up customising a stool to go with the table we bought. The price of the furniture is also reasonable for the good quality you are getting!!,0.1915,0.5585,0.0,0.284575
88,"Unexpectedly lovely furniture display store, located incongruously above  a pressed metal warehouse. Has a nice and eclectic selection of wood and modern furniture. Friendly and accommodating staff willing to bring you through the selections and customisations available",0.23666666666666666,0.7633333333333333,0.0,0.5004333333333333
89,This a good place for pearled who like teak wood furniture. They have variety of display items to choose/view. A comfortable and pleasant place to shop for teak and suarwood furniture. Great experience!,0.40575,0.59425,0.0,0.50905
90,Firstly is difficult to find the warehouse as the company combine with other company.. As the entrance to widharja is misleading. But is  helpful if the company logo is big for us as buyer to find the shop.. But is very great as we enter the shop.. Marvellous and fantastic..,0.14466666666666667,0.7836666666666666,0.07166666666666667,0.14786666666666667
91,Amazingly hard to find but worth it. Look out for banner half falling off and A4 sign at staircase hinting of teak showroom upstairs. Really helpful staff. Have not received goods yet but finding the place with good bargain prices of …,0.29725,0.64125,0.0615,0.309575
92,"Patient and friendly staff, willing to share key pointers on teak furniture.  It is located inside a strangely run down factory building.  And then you go up to the showroom, and see this interesting and eclectic range of furniture.  Pretty fun.",0.3785,0.5675,0.054,0.40065
93,"Awesome showroom, variety of designs available for viewing. Friendly staff. Recommended.",0.7103333333333334,0.2896666666666667,0.0,0.4403666666666667
94,A piece of gem in an unexpected location. Spacious and has ample furniture being displayed for look and feel. Staff is most friendly and informative. Worth a visit for wooden furniture selection.,0.17149999999999999,0.8285,0.0,0.19190000000000002
95,"Looking for a day bed and they have the one I am looking for, and, with an affordable price.",0.0,1.0,0.0,0.0
96,I had a fulfilling and satisfactory experience shopping for my furniture here. The customer service was very good. The staff are very accommodating and they look into all the details of what you truly want. Thank you Wihardja!,0.34425,0.65575,0.0,0.423775
97,"Peishan was very helpful and provided very useful information on our purchases. Prices are very reasonable here as well, and quality is evident. For any wood based furniture, we strongly recommend you to come by this store first before making a decision.",0.261,0.739,0.0,0.5242
98,Good quality teak wood products and reasonable price. Location is easily accessible. Customer Service is good. Thank you Pei Shan.,0.40425,0.59575,0.0,0.3559
99,This place very exciting furniture and the staff very helpful and patience to give enough details. Moreover the prices reasonable.,0.16,0.8400000000000001,0.0,0.382
100,Good customer service by Kam Fei!,0.358,0.642,0.0,0.4199
101,A lot choice of solid wood furniture..and big mirrors that I like..best place to shop for such furniture..,0.096,0.904,0.0,0.1531
102,Jian  Hua make the experience a lot more meaningful. He is very patient and acquire good product knowledge,0.254,0.746,0.0,0.3708
103,Alot variety & good customer service,0.385,0.615,0.0,0.3612
104,Well arranged showroom and absolutely love how we can customize everything to suit our needs. Staffs are friendly and detailed. Wheelchair friendly area another plus point for us.,0.353,0.647,0.0,0.5559666666666667
105,Friendly service staff. Good variety of wood furnishings.,0.5,0.5,0.0,0.42755
106,Great showroom and super friendly customer service staff.. wide range of choices and love their items here!!,0.2655,0.2345,0.0,0.4701
107,Pei Shan is very helpful and friendly! Good jobs guys. She is super patient also!,0.5486666666666666,0.4513333333333333,0.0,0.5928333333333333
108,"Went there to look for dinning chairs and was helped by May,  She explained to us carefully and helped us get many price checks on our different requirements swiftly.  The wood they use is very solid and natural looking.  Compared to other …",0.163,0.837,0.0,0.32253333333333334
109,Very nice cosy display of teak furniture. Sure will buy a few,0.387,0.613,0.0,0.3968
110,The shop is quite comfortable the product is high quality especially the woods.,0.23,0.77,0.0,0.5563
111,Nice place n convenience. Salesman is so helpful and friendly.. Will come back for more.. Thank you Wihardja.,0.4683333333333333,0.5316666666666666,0.0,0.4475
112,The price is very reasonable. I have been scouting for beds & they give very good price range. Ended up buying a dining table .... :),0.18366666666666667,0.8163333333333334,0.0,0.29296666666666665
113,"I have known Wihardja for over 10 years now and absolutely love their products. I really also appreciate their staff members in guiding me around and helping me with my queries, especially Angie and May. I often visit the Sungei kadut …",0.14933333333333335,0.8506666666666667,0.0,0.39189999999999997
114,"If you are teak lover, you should come down and check out this place. Teak wood age beautifully.",0.389,0.611,0.0,0.5789
115,"Love ❤❤❤ all their teak furniture. This is my 3rd trip here since moving to my new house. Already bought 2 Queen size beds, TV console, dressing table, 2 side tables etc. Super friendly and helpful sales staff. Today was attended by Kam Fei …",0.2314,0.7686,0.0,0.27318
116,The place is nice selling teak woods. Price is reasonable.,0.159,0.841,0.0,0.21075
117,JH has good customer service. Very pleasant and helpful. Overall we managed to find what we needed.,0.38466666666666666,0.6153333333333333,0.0,0.3766666666666667
118,Like the sleek and smooth finish of the wooden furniture and the creativity of the style of the design. The staff are really very friendly and gave tips and information for us even if it is not related to theirs products. We were here for a …,0.12766666666666668,0.8723333333333333,0.0,0.40226666666666666
119,Fantastic place with amazing real furniture and prices. Love the wood and the quirky furniture styles. Very Balinese. Our sales guy was wonderful Jian Hua.,0.31175,0.68825,0.0,0.4696
120,Pleasant visit to the showroom. One of the staff called May was helpful throughout with our queries. Very good service we received.,0.35533333333333333,0.6446666666666667,0.0,0.4507333333333333
121,Good environment. Many choices. Staff was friendly and very helpful.,0.44166666666666665,0.5583333333333333,0.0,0.3679
122,Spacious showroom with wide range of items. Location easy to find.,0.246,0.754,0.0,0.2202
123,Staff very friendly and helpful.Show room is excellent.location is easy ti find.,0.39,0.61,0.0,0.7501
124,We saw a beautiful chair in Malacca & after searching I found it in Wihardja. We went to Sungei Kadut showroom & feel in love with chair & bought it right away. We would like to appreciate the staff (Pei Shan & Jian Hua) who accomodate us patiently.,0.24466666666666667,0.7553333333333333,0.0,0.5767333333333333
125,"Very friendly and helpful for our request, and a lovely set of different types of furniture. Will definitely be coming back and recommend this to anyone who wants any wood type furniture of high quality.",0.34850000000000003,0.6515,0.0,0.7609
126,"Interesting, quality furnitures, value for money price and knowledgable friendly  staffs",0.509,0.491,0.0,0.8074
127,Not too bad.  A bit misleading cause not all items are on year end sale. Very selected items. Prices are as displayed.. Should have free delivery if u spent a minimum amount.,0.20475,0.742,0.05325,0.13492500000000002
128,Very friendly staffs. The wood furnitures are really nice and price is affordable.,0.446,0.554,0.0,0.50835
129,"Excellent collection of wooden furniture, especially tables, stools and bed frames",0.27,0.73,0.0,0.5719
130,Service staff was friendly and helpful. Gave us useful info about the items we are purchasing. Never regret any of my purchases at Wihardja! 😎🤗,0.27925,0.72075,0.0,0.386375
131,There are variety of wooden furniture.  Quite nice. The staff are quite friendly too.,0.389,0.611,0.0,0.3389
132,The place is nice big with alot of furnitures. just that the location is hardly spotted from the roadside. this building shares its location with a metal company. maybe you can make the company name bigger and more easily seen from the road.,0.16475,0.83525,0.0,0.27949999999999997
133,Great place and great staff. Good teak furnitures at a good price. Great product,0.6973333333333334,0.3026666666666667,0.0,0.6951333333333334
134,Excellent selection of solid wood furniture. Very reasonable prices! They custom make too. Helpful service.. I highly recommend it. ⭐️,0.315,0.685,0.0,0.24836666666666665
135,All the staff at both the Kaki Bukit and Sungei Kadut outlets were very friendly. Lots of interesting items for homes. Very reasonable pricing also.,0.18366666666666667,0.8163333333333334,0.0,0.3144
136,"There is wide variety of teakwood furnitures, ranging from traditional to modern designs.",0.0,1.0,0.0,0.0
137,Friendly staff and share professional advice on customized furniture. Lovely place.,0.6135,0.38649999999999995,0.0,0.6228
138,"Good quality furnitures with a wide range of choices. Attractive house accessories. Good customer service. Helpful, friendly and knowledgable staff 😊",0.5195000000000001,0.4805,0.0,0.47030000000000005
139,"Enjoyed the experience of exploring and finding things we like here. The outlet has a nice feel to it and we could freely walk around and explore without anyone shadowing...something I really appreciate!
Special mention of the cordial and helpful staff...esp Lee Ling, who patiently helped us measure and change our minds, at ease:)",0.32066666666666666,0.6793333333333333,0.0,0.7367666666666667
140,"Great range of team furnitures. Goods are beautiful, solid and affordable. Staffs are friendly, knowledgeable, professional and accommodating. Highly recommended for anyone looking for teak products!",0.42174999999999996,0.57825,0.0,0.5315
141,"Great place, friendly seller, she(pei shan) answer to all our enquiries :)",0.534,0.466,0.0,0.8834
142,Variety of products. Spoilt for choices. Friendly and approachable staff!!,0.1345,0.6155,0.0,0.135275
143,"good customer service, price is reasonable but non negotiable.",0.179,0.821,0.0,0.1901
144,Nice cozy place to shop in. Service is good👍,0.1795,0.8205,0.0,0.21075
145,Very friendly staff who explain everything. Helpful in offering ideas. Wide variety at good prices.,0.42633333333333334,0.5736666666666667,0.0,0.44133333333333336
146,"i come 2 buy a cabinet, i like the wood..n price is affodable..u can choose anything from d warehouse n staff was freindly...",0.135,0.865,0.0,0.3612
147,"We were greeted immediately.  The staff was friendly and courteous, providing suggestion to make the right choice. I would recommend Wihardja to those who wants to get a good bargain and quality furniture.",0.3883333333333333,0.6116666666666667,0.0,0.5771333333333334
148,The staff was very friendly and helpful. Many unique pieces of furniture. Can customize furniture. Will make for you if you bring a new idea.,0.14175,0.85825,0.0,0.1905
149,Lots of choices interesting design and spacious,0.31,0.69,0.0,0.4019
150,"Cooling environment, good products and excellent service. Would recommend to others.",0.5045000000000001,0.49550000000000005,0.0,0.54815
151,The staff Ms May is patient & knowledgable on the items. The chairs are affordable & of good quality.,0.147,0.853,0.0,0.1806
152,Jian Hua was helpful and the showroom was well stocked,0.38,0.62,0.0,0.5994
153,Wide variety of furniture's.. Helpful and friendly staffs. Highly recommended. 👍👍,0.35675,0.64325,0.0,0.2475
154,Very friendly service staff. We came in with a bunch of queries and they were super helpful.,0.46950000000000003,0.5305,0.0,0.6565000000000001
155,Very friendly and detailed service. Salesperson gave us advice and was never pushy. Will return and recommend to others!,0.3433333333333333,0.6566666666666667,0.0,0.3889666666666667
156,Very professional and easy going sales personnel. Good teak furniture!! Highly recommended.,0.543,0.457,0.0,0.41103333333333336
157,"Comfortable place to shop at with not stress n good service from the service staff.
Highly recommended",0.489,0.45499999999999996,0.0565,0.40864999999999996
158,"Was impressed with the range of products and price.. but Very bad after sales service and not all items are good.. especially the cushion/foam.. well, you pay for what u get..",0.135,0.686,0.179,-0.4007
159,A great place to source and customise suar n teak woods at affordable prices. Friendly staff helps too!,0.5125,0.4875,0.0,0.6756
160,Many products available. Friendly staff and would recommend to friends and relatives,0.2975,0.7025,0.0,0.4158
161,Experience was great! Very good knowledge of their product. Will definitely recommend.,0.628,0.372,0.0,0.5719333333333334
162,The showroom is very impressive and reasonable price. The service consultant (May) is very friendly and helpful.,0.4115,0.5885,0.0,0.65915
163,Nice showroom and have wide range of teak furniture. Highly recommended for house owners looking for teak or customised furniture,0.216,0.784,0.0,0.34655
164,"Quite a big place, plenty of varieties. Customisable too. V nice.",0.3333333333333333,0.6666666666666666,0.0,0.14049999999999999
165,There is a wide range of furniture on display at the store. The staff were very helpful in assisting with our queries. Understand that long standing customers have returned after a long interval which is testimony of the products that are carried.,0.08533333333333333,0.9146666666666666,0.0,0.15846666666666667
166,"Very good service and good price.
Will recommend friends to buy.",0.617,0.383,0.0,0.6800999999999999
167,The furniture has amazing design and is very functional. The price is reasonable for the excellent quality. The staff is helpful and friendly.,0.42266666666666663,0.5773333333333334,0.0,0.6254
168,Good. Good mix of furniture types. Good services.,0.6996666666666667,0.30033333333333334,0.0,0.3612
169,Can customise according to the request. Reasonable price. Will recommend to friends.,0.24566666666666667,0.7543333333333333,0.0,0.22693333333333332
170,Good customer service. Thanks to Kam Fei for being patient and helpful. Nice furniture and good price.,0.548,0.452,0.0,0.5668666666666666
171,Great variety of quality teak furniture on display at reasonable prices at Toh Guan warehouse. Friendly staff with patience to take care of your needs. Highly recommended! Do drop by for a visit if u are looking for solid teak furniture.,0.37324999999999997,0.5885,0.03825,0.39605
172,A little difficult to find. Sign must be more prominent. Attendance sales good.,0.31633333333333336,0.5423333333333333,0.14133333333333334,0.14803333333333335
173,"Do not let the dog at the first floor stop you from going up to their shop!
We were served by Kam Fei. He is friendly and knowledgeable. He provided us a number of suggestions for our customization ideas!
Totally worth a visit to have your woody ideas materialize!",0.1662,0.8068,0.027000000000000003,0.1287
174,Nice place great ambience and very helpful staff,0.667,0.333,0.0,0.8748
175,"Great selection of teak furniture 👍🏻 Really helpful and friendly staff, assisted me very well in the customizing of my furniture 😊",0.434,0.566,0.0,0.9193
176,Very friendly and accommodating staffs..pcs of furniture look great and at reasonable price.,0.408,0.592,0.0,0.8221
177,Excellent service. Accommodating and friendly staff. Prices are very reasonable as well w as good quality! Highly recommended!,0.608,0.39199999999999996,0.0,0.5085500000000001
178,Excellent services from May and Kam Fei. Patience and explain products well.,0.3625,0.6375,0.0,0.42255
179,Lots of wood furniture for selection. Very good service.,0.2915,0.7085,0.0,0.21005
180,"Custom built these two shelves with teak and I am satisfied with the whole process from enquiry/order, inspection to delivery.",0.135,0.865,0.0,0.4215
181,What a pleasant surprise in Sg Kadut! Chanced upon Wihardja while furniture shopping and was glad to have found this gem of a collection. Staff (Kam Fei) was very helpful and def contributed to the overall positive  shopping experience!,0.368,0.632,0.0,0.6461666666666667
182,nice wood furniture and price is affordable.,0.318,0.682,0.0,0.4215
183,"Good service by kam fei
lots of choices and the price is gooooood👍",0.172,0.828,0.0,0.3612
184,Found this treasure by chance! Called to make enquiries and was greeted by a most helpful Pei Shan. She offered good suggestions and the deal is sealed. It's my lucky day 😀,0.41575,0.58425,0.0,0.489975
185,very nice furniture and reasonable price.,0.382,0.618,0.0,0.4754
186,"Excellent sale reps, patience with good explanation. The showroom is filled with many items for your eyes!",0.277,0.723,0.0,0.36755
187,Very professional and friendly sales person Kam Fei that made the purchase very pleasant. It was his service that made us order the table. Cheers!,0.45666666666666667,0.5433333333333333,0.0,0.4398
188,Visited the store 3 times & the services provided by the staff is very good as he (KF) is very helpful in getting my order taken with my own measurement requirements since the cabinet in the store did not fit into the space I have.,0.125,0.83,0.045,0.5826
189,Hi all..spacous showroom n many choices to view n decide..pls visit d show room for new furniture collection..,0.0,1.0,0.0,0.0
190,Reasonable Price with great product!,0.523,0.477,0.0,0.6588
191,"Amazing showroom, if youre looking for solid teak furniture, come check it out. Very friendly and knowledgeable staff that will assist you.",0.3165,0.6835,0.0,0.6005
192,I love Wihardja furniture. The showroom is interesting and display a an eclectic mix of pieces that are functional and attractive.,0.4505,0.5495,0.0,0.58735
193,"Custom made a TV console and a cupboard. There were 2 mading errors on the TV console that the height was out by 2cm and the leg was of the wrong type (different from the cupboard).
However, Wihardja was fast to react and agreed to remedy …",0.063,0.877,0.06,-0.13243333333333332
194,Salesperson Kam Fei was very helpful and patient with us when we were looking for a bed frame ... So many lovely items and so affordable .... Definitely coming again !,0.3015,0.6985,0.0,0.6423
195,Came here looking for a sofa.Found several suitable ones for us but if all have to mention specially about the very supportive and friendly customer sevice deliverd by Peishan and Jian Hua.Thank you.,0.209,0.791,0.0,0.8375
196,Very friendly service...and able to customise to your needs,0.304,0.696,0.0,0.5413
197,"Good and patient salesman, range of furniture is not bad. Worth a visit.",0.528,0.472,0.0,0.44025000000000003
198,Great place for furniture especially on Wood.,0.406,0.594,0.0,0.6249
199,Good service and quite reasonable price,0.333,0.667,0.0,0.3612
200,Good place to find what you need at home!,0.259,0.741,0.0,0.4199
201,"Very peaceful, the shop is very well organised, wonderful experience shopping here staff is very helpful",0.519,0.481,0.0,0.9176
